model,accuracy,precision,recall,f1
RandomForest,0.9850057670126874,0.996415770609319,0.9805996472663139,0.9884444444444445
DecisionTree,0.9746251441753172,0.9789103690685413,0.982363315696649,0.9806338028169014
LogisticRegression,0.9630911188004614,0.9981378026070763,0.9453262786596119,0.9710144927536232
